title,department,openings,locations,all_locations,regions,remote_available
Client Sales Executive - Enterprise Accounts,Not specified,1,United States,United States,Not specified,No
Client Sales Executive - IMB,Not specified,1,United States,United States,Not specified,No
Client Sales Executive - Mid-Market Accounts,Not specified,1,United States,United States,Not specified,No
Director of Sales - New Logo,Not specified,1,United States,United States,Not specified,No
"Manager, Deal Desk ",Not specified,1,United States,United States,Not specified,No
"Manager, Revenue Accounting",Not specified,1,United States,United States,Not specified,No
Sales Engineer - Enterprise,Not specified,1,United States,United States,Not specified,No
Sales Engineer - Named,Not specified,1,United States,United States,Not specified,No
Sales Executive - New Logo (Named Accounts),Not specified,1,United States,United States,Not specified,No
VP of Sales,Not specified,1,United States,United States,Not specified,No
