title,department,location,posting_date,remote,region,url
Support Engineer,Not specified,Monterrey,Posted Yesterday,No,Not specified,https://careers.blueyonder.com/us/en/search-results/job/Monterrey/Support-Engineer_260159
"Technical Consultant - BY SCPO, BY Demand, Fulfilment",Not specified,IND - Coimbatore (708),Posted Yesterday,No,Not specified,https://careers.blueyonder.com/us/en/search-results/job/IND---Coimbatore-708/Technical-Consultant---BY-SCPO--BY-Demand--Fulfilment_254736
"Technical Consultant - BY SCPO, BY Demand, Fulfillment",Not specified,IND - Coimbatore (708),Posted Yesterday,No,Not specified,https://careers.blueyonder.com/us/en/search-results/job/IND---Coimbatore-708/Technical-Consultant---BY-SCPO--BY-Demand--Fulfillment_254727-1
"Senior Technical Consultant - BY SCPO , BY Demand , Fulfillment",Not specified,IND - Coimbatore (708),Posted Yesterday,No,Not specified,https://careers.blueyonder.com/us/en/search-results/job/IND---Coimbatore-708/Senior-Technical-Consultant---BY-SCPO---BY-Demand---Fulfillment_254728
"Technical Consultant - Category Management, SQL Server, C#,.NET",Not specified,IND - Coimbatore (708),Posted Yesterday,No,Not specified,https://careers.blueyonder.com/us/en/search-results/job/IND---Coimbatore-708/Technical-Consultant---Category-Management--SQL-Server--C--NET_254740
"Technical Consultant - Category Management, SQL Server, C#,.NET",Not specified,IND - Coimbatore (708),Posted Yesterday,No,Not specified,https://careers.blueyonder.com/us/en/search-results/job/IND---Coimbatore-708/Technical-Consultant---Category-Management--SQL-Server--C--NET_254742
"Technical Consultant - Category Management, SQL Server, C#,.NET",Not specified,IND - Coimbatore (708),Posted Yesterday,No,Not specified,https://careers.blueyonder.com/us/en/search-results/job/IND---Coimbatore-708/Technical-Consultant---Category-Management--SQL-Server--C--NET_254745
"Technical Consultant-Category Management, SQL Server, C#,.NET",Not specified,IND - Coimbatore (708),Posted Yesterday,No,Not specified,https://careers.blueyonder.com/us/en/search-results/job/IND---Coimbatore-708/Technical-Consultant-Developer-Category-Mangement--SQL-Server--Dot-Net-_254746
"Senior Technical Consultant - Category Management, SQL Server, C#,.NET",Not specified,IND - Coimbatore (708),Posted Yesterday,No,Not specified,https://careers.blueyonder.com/us/en/search-results/job/IND---Coimbatore-708/Senior-Technical-Consultant---Category-Management_254732
Project Manager Consulting,Not specified,Bangalore,Posted Yesterday,No,Not specified,https://careers.blueyonder.com/us/en/search-results/job/Bangalore/Project-Manager-Consulting_260127
Sr. Coordinator - Learning & Development,Not specified,Bangalore,Posted Yesterday,No,Not specified,https://careers.blueyonder.com/us/en/search-results/job/Bangalore/Sr-Coordinator---Learning---Development_254407
Sr Solution Architect,Not specified,Hyderabad,Posted 2 Days Ago,No,Not specified,https://careers.blueyonder.com/us/en/search-results/job/Hyderabad/Sr-Solution-Architect_260627
Lead Software Engineer,Not specified,2 Locations,Posted 2 Days Ago,No,Not specified,https://careers.blueyonder.com/us/en/search-results/job/Hyderabad/Lead-Software-Engineer_260638
IN-Staff Software Engineer,Not specified,2 Locations,Posted 2 Days Ago,No,Not specified,https://careers.blueyonder.com/us/en/search-results/job/Hyderabad/IN-Staff-Software-Engineer_260537
IN-Lead Software Engineer,Not specified,2 Locations,Posted 2 Days Ago,No,Not specified,https://careers.blueyonder.com/us/en/search-results/job/Hyderabad/IN-Lead-Software-Engineer_260535
Technical Architect - BY Category Management/ BY CATMAN/ SQL/ Azure,Not specified,Bangalore,Posted 2 Days Ago,No,Not specified,https://careers.blueyonder.com/us/en/search-results/job/Bangalore/Technical-Architect---BY-Category-Management--BY-CATMAN--SQL--Azure_260504
"Support Team Lead - Blue Yonder CatMan (Category Management), Azure, Oracle SQL, PL/SQL",Not specified,Bangalore,Posted 2 Days Ago,No,Not specified,https://careers.blueyonder.com/us/en/search-results/job/Bangalore/Support-Team-Lead---Blue-Yonder-CatMan--Category-Management---Azure--Oracle-SQL--PL-SQL_254851
"Sr. Technical Consultant - Cloud (Project Coordination, Supply Chain, ITIL, Customer Handling, Stakeholder Mgmnt, Consulting)",Not specified,2 Locations,Posted 2 Days Ago,No,Not specified,https://careers.blueyonder.com/us/en/search-results/job/Hyderabad/Sr-Technical-Consultant---Cloud--Project-Coordination--Supply-Chain--ITIL--Customer-Handling--Stakeholder-Mgmnt--Consulting-_260321
Senior Manager - Technical Accounting,Not specified,Dallas,Posted 3 Days Ago,No,Not specified,https://careers.blueyonder.com/us/en/search-results/job/Dallas/Senior-Manager---Technical-Accounting_254689
"Sr Director, Customer Education and Adoption (Services & Product)",Not specified,2 Locations,Posted 3 Days Ago,No,Not specified,https://careers.blueyonder.com/us/en/search-results/job/Dallas/Sr-Director--Customer-Education-and-Adoption--Services---Product-_260447
Sr Solution Architect - Demand/Supply/Production/Sales & Operation Planning,Not specified,2 Locations,Posted 3 Days Ago,No,Not specified,https://careers.blueyonder.com/us/en/search-results/job/Bracknell/Sr-Solution-Architect---Demand-Supply-Production-Sales---Operation-Planning_254443
Enterprise Technical Architect WMS,Not specified,Warsaw,Posted 3 Days Ago,No,Not specified,https://careers.blueyonder.com/us/en/search-results/job/Warsaw/Enterprise-Technical-Architect-WMS_253979
"Solution Architect Space, Range, Display Management",Not specified,5 Locations,Posted 3 Days Ago,No,Not specified,https://careers.blueyonder.com/us/en/search-results/job/Warsaw/Solution-Architect-Space--Range--Display-Management_253982
Technical Account Advisor - TAM/ITIL/Account Management/Customer Success,Not specified,2 Locations,Posted 3 Days Ago,No,Not specified,https://careers.blueyonder.com/us/en/search-results/job/IND---Coimbatore-708/Technical-Account-Advisor---TAM-ITIL-Account-Management-Customer-Success_260319
Enterprise Solution/Technical Architect - e2e Platform Lighthouse,Not specified,4 Locations,Posted 3 Days Ago,No,Not specified,https://careers.blueyonder.com/us/en/search-results/job/Warsaw/Enterprise-Solution-Technical-Architect---e2e-Platform-Lighthouse_260857
