title,department,location,posting_date,remote,region,url
"Product Manager, Agent Development (Spanish speaking)",Product,London,2025-08-21T19:31:58.791+00:00,No,Not specified,https://jobs.ashbyhq.com/Sierra/4892f01e-8871-4b32-8963-527f1cf8db5d
"Strategist, Agent Development",Product,"San Francisco, CA",2025-07-29T00:28:56.262+00:00,No,Not specified,https://jobs.ashbyhq.com/Sierra/c25ca18c-dbe6-439d-9a40-ce23b40c323c
"Software Engineer, Infrastructure",Engineering,"San Francisco, CA",2025-10-15T22:18:31.628+00:00,No,Not specified,https://jobs.ashbyhq.com/Sierra/55e76105-7f8d-42e8-b1d1-120b7b83922e
Recruiting Coordinator (Contract),Operations,London,2025-11-18T19:38:09.394+00:00,No,Not specified,https://jobs.ashbyhq.com/Sierra/13792681-ae44-406c-9f4f-0155b70e7df3
"Enterprise Account Executive, Europe (German speaking)",Sales,London,2025-08-21T19:26:06.406+00:00,No,Not specified,https://jobs.ashbyhq.com/Sierra/39c1ed90-786b-41c6-943e-7c2427f90043
APX (New Grad),Early Career,"San Francisco, CA",2025-09-01T21:47:49.117+00:00,No,Not specified,https://jobs.ashbyhq.com/Sierra/9738d0f0-13be-4e89-9fba-505e7cac288f
"Software Engineer, Agent (German speaking)",Engineering,London,2025-08-21T19:27:31.304+00:00,No,Not specified,https://jobs.ashbyhq.com/Sierra/9ebc3a79-82bf-478d-bd98-d473d41bdeaf
"Software Engineer, Agent (French speaking)",Engineering,London,2025-08-21T19:27:50.024+00:00,No,Not specified,https://jobs.ashbyhq.com/Sierra/9d9e7d4a-2a27-4f64-9b1f-d79c5d3f129a
"Software Engineer, Agent (Spanish speaking)",Engineering,London,2025-08-21T19:28:09.367+00:00,No,Not specified,https://jobs.ashbyhq.com/Sierra/aadfc0a0-93f6-454b-9767-c24793fa3eff
"Enterprise Account Executive, Europe (Italian speaking)",Sales,London,2025-12-04T20:40:55.385+00:00,No,Not specified,https://jobs.ashbyhq.com/Sierra/9f5b273f-1604-4b5b-bbbb-13cf0af35150
Enterprise Account Executive,Sales,"San Francisco, CA",2025-08-27T23:25:15.261+00:00,No,Not specified,https://jobs.ashbyhq.com/Sierra/9c32bb0b-ba6a-449e-b6d8-53a9709c7b3e
"Software Engineer, Agent (New Grad)",Early Career,"San Francisco, CA",2025-09-01T21:48:43.810+00:00,No,Not specified,https://jobs.ashbyhq.com/Sierra/6a75b530-b7bb-4439-bb67-37b4f2b75b96
Sales Engineering Manager,Sales,"San Francisco, CA",2025-09-30T16:50:11.161+00:00,No,Not specified,https://jobs.ashbyhq.com/Sierra/684fe45e-e8ab-40bc-8faa-c291646a48bb
People Operations Manager,Operations,"San Francisco, CA",2025-09-19T14:47:50.282+00:00,No,Not specified,https://jobs.ashbyhq.com/Sierra/48fb4d34-8622-45fc-9fca-f8f20b6d034a
"Software Engineer, Agent (New Grad)",Early Career,London,2025-09-25T17:34:38.099+00:00,No,Not specified,https://jobs.ashbyhq.com/Sierra/0ff928f7-cca0-4d2b-ae64-c07277ff5252
