title,department,location,posting_date,remote,region,url
Senior AI Agent Architect (f/m/d)*,Not specified,Berlin Office; Munich Office; Remotely in Germany,2026-02-14T13:54:17-05:00,Yes,Not specified,https://job-boards.eu.greenhouse.io/parloa/jobs/4766701101
Senior AI Agent Architect (f/m/d)*,Not specified,Dublin; London; Remotely in the UK,2026-02-14T13:57:05-05:00,Yes,Not specified,https://job-boards.eu.greenhouse.io/parloa/jobs/4782800101
