title,department,openings,locations,all_locations,regions,remote_available
Client Solutions Advisor,Not specified,2,2 Locations; 3 Locations,2 Locations | 3 Locations,Not specified,No
Application Architect,Not specified,1,"Chicago (Green St), IL","Chicago (Green St), IL",Not specified,No
Associate Director of Strategy & Operations,Not specified,1,"Chicago (Green St), IL","Chicago (Green St), IL",Not specified,No
Business Data Analyst,Not specified,1,"Chicago (Green St), IL","Chicago (Green St), IL",Not specified,No
Casualty Sr. Solutions Engineer,Not specified,1,"Virtual, USA","Virtual, USA",Not specified,No
Customer Success Manager,Not specified,1,"Virtual, USA","Virtual, USA",Not specified,No
Data Analyst – Subrogation Strategy,Not specified,1,"Virtual, USA","Virtual, USA",Not specified,No
Product Operations Manager,Not specified,1,"Chicago (Green St), IL","Chicago (Green St), IL",Not specified,No
Regional Business Manager,Not specified,1,3 Locations,3 Locations,Not specified,No
Remote Inbound Customer Service Representative,Not specified,1,11 Locations,11 Locations,Not specified,Yes
Site Reliability Engineer - AWS,Not specified,1,"Chicago (Green St), IL","Chicago (Green St), IL",Not specified,No
Technical Accounting Lead,Not specified,1,"Chicago (Green St), IL","Chicago (Green St), IL",Not specified,No
"Vehicle Audit Rep (Los Angeles, CA)",Not specified,1,"Los Angeles, CA","Los Angeles, CA",Not specified,No
"Vehicle Inventory Rep & Auditor (Des Moines, IA)",Not specified,1,"Des Moines, IA","Des Moines, IA",Not specified,No
"Vehicle Inventory Rep & Auditor (Lagrange/Columbus, GA)",Not specified,1,2 Locations,2 Locations,Not specified,No
"Vehicle Inventory Rep & Auditor (Limerick/West Chester, PA)",Not specified,1,2 Locations,2 Locations,Not specified,No
"Vehicle Inventory Rep & Auditor (Little Rock, AR)",Not specified,1,"Little Rock, AR","Little Rock, AR",Not specified,No
"Vehicle Inventory Rep & Auditor (McKinney, TX)",Not specified,1,"McKinney, TX","McKinney, TX",Not specified,No
"Vehicle Inventory Rep & Auditor (Omaha, NE)",Not specified,1,"Omaha, NE","Omaha, NE",Not specified,No
