title,department,openings,locations,all_locations,regions,remote_available
Bilingual Thai Strategic Cuisines Account Executive,Sales,1,"Texas, United States","Texas, United States",Not specified,No
Bilingual Thai Strategic Cuisines Account Executive - Northeast,Sales,1,"Boston, Massachusetts, United States","Boston, Massachusetts, United States",Not specified,No
Bilingual Vietnamese Strategic Cuisines Account Executive- Central,Sales,1,"Texas, United States","Texas, United States",Not specified,No
"Bloomington, Indiana Territory Account Executive",Sales,1,"Bloomington, Indiana, United States","Bloomington, Indiana, United States",Not specified,No
Business Continuity Manager,Legal,1,"Bengaluru, Karnataka, India","Bengaluru, Karnataka, India",Not specified,No
"Coral Springs, FL Territory Account Executive",Sales,1,"Coral Springs, Florida, United States","Coral Springs, Florida, United States",Not specified,No
Credit Risk Senior Analyst,Fintech,1,"Bengaluru, Karnataka, India","Bengaluru, Karnataka, India",Not specified,No
Customer Advocacy & Storytelling Lead,Marketing,1,"Remote, United States","Remote, United States",Not specified,Yes
Customer Care Tax Expert,Customer Success,1,"Remote, United States","Remote, United States",Not specified,Yes
"Director - People Operations, Shared Services",People & Places,1,"Chennai, Tamil Nadu, India","Chennai, Tamil Nadu, India",Not specified,No
Director of Corporate Engineering,Enterprise Tech,1,"Bengaluru, Karnataka, India","Bengaluru, Karnataka, India",Not specified,No
"Director of Product Management, Card Readers",Product,1,"Dublin, County Dublin, Ireland","Dublin, County Dublin, Ireland",Not specified,No
Director of Talent Acquisition Operations,People & Places,1,"New York, United States","New York, United States",Not specified,No
"Director, Care Analytics",Customer Success,1,"Boston, Massachusetts, United States","Boston, Massachusetts, United States",Not specified,No
"Director, Data Engineering & Infrastructure (Customer Success)",Customer Success,1,"Boston, Massachusetts, United States","Boston, Massachusetts, United States",Not specified,No
"Director, FinTech Counsel",Legal,1,,,Not specified,No
"Director, Fintech Compliance",Legal,1,"Remote, United States","Remote, United States",Not specified,Yes
"Director, Talent Acquisition Operations",People & Places,1,"San Francisco, California, United States","San Francisco, California, United States",Not specified,No
"District Manager, SMB - Atlanta, GA",Sales,1,"Atlanta, Georgia, United States","Atlanta, Georgia, United States",Not specified,No
"District Manager, SMB - Michigan/Indiana",Sales,1,"Grand Rapids, Michigan, United States","Grand Rapids, Michigan, United States",Not specified,No
East Coast Mandarin Strategic Cuisines Inside Account Executive,Sales,1,"Boston, Massachusetts, United States","Boston, Massachusetts, United States",Not specified,No
"Engineering Manager II, Supply Chain",Enterprise Tech,1,"Remote, United States","Remote, United States",Not specified,Yes
Equity Analyst -Stock Plan Administrator,People & Places,1,"Chennai, Tamil Nadu, India","Chennai, Tamil Nadu, India",Not specified,No
Flex (Mid Atlantic Region) Territory Account Executive,Sales,1,"Washington, District of Columbia, United States","Washington, District of Columbia, United States",Not specified,No
"Flex Account Executive , SMB - New York, NY",Sales,1,"New York, United States","New York, United States",Not specified,No
