title,department,location,posting_date,remote,region,url
Data Center Arista LAN Specialist,INFORMATION TECHNOLOGY,"India, MH, Pune",Not specified,No,APAC,https://www.3ds.com/careers/jobs
GL Accountant,FINANCE,"Korea, Republic of, 11, Seoul",Not specified,No,APAC,https://www.3ds.com/careers/jobs
Spécialiste Data & IA - Corporate Finance (H/F),FINANCE,"France, Vélizy-Villacoublay",Not specified,No,EMEA,https://www.3ds.com/careers/jobs
Software Asset Manager,INFORMATION TECHNOLOGY,"India, MH, Pune",Not specified,No,APAC,https://www.3ds.com/careers/jobs
ENOVIA Sales Expert,SALES,"Korea, Republic of, 11, Seoul",Not specified,No,APAC,https://www.3ds.com/careers/jobs
INTERNSHIP - Structures Software Engineer,RESEARCH & DEVELOPMENT,"United States, RI, Johnston",Not specified,No,Americas,https://www.3ds.com/careers/jobs
Process & Operations Transformation Expert (GBS),FINANCE,"India, MH, Pune",Not specified,No,APAC,https://www.3ds.com/careers/jobs
Data Analyst,FINANCE,"India, MH, Pune",Not specified,No,APAC,https://www.3ds.com/careers/jobs
Développeur d'affaires - Industrie Automobile (F/H),INDUSTRY,"France, Vélizy-Villacoublay",Not specified,No,EMEA,https://www.3ds.com/careers/jobs
