title,department,openings,locations,all_locations,regions,remote_available
Senior Product Manager,Not specified,2,"2 Locations; Boston, MA, USA","2 Locations | Boston, MA, USA",Not specified,No
"Senior Renewals Representative, Account Based",Not specified,2,"Kuala Lumpur, MYS; North Sydney, AUS","Kuala Lumpur, MYS | North Sydney, AUS",Not specified,No
Senior Software Development Engineer,Not specified,2,"EMEA - Ireland - Dublin - Windmill; Novi, MI, USA","EMEA - Ireland - Dublin - Windmill | Novi, MI, USA",Not specified,No
Senior Software Engineer (Full Stack),Not specified,2,"Pune, IND","Pune, IND",Not specified,No
Senior Software Engineer - Agentic AI,Not specified,2,"Pune, IND","Pune, IND",Not specified,No
Senior Software Engineer - C++,Not specified,2,2 Locations,2 Locations,Not specified,No
Site Reliability Engineer,Not specified,2,"Kraków, POL; Pune, IND","Kraków, POL | Pune, IND",Not specified,No
Software Development Manager,Not specified,2,"EMEA - Serbia - Novi Sad - Zeleznicka 7; Singapore, SGP","EMEA - Serbia - Novi Sad - Zeleznicka 7 | Singapore, SGP",Not specified,No
Software Engineer - Fusion AI,Not specified,2,"Pune, IND","Pune, IND",Not specified,No
Software QA Engineer,Not specified,2,"EMEA - Poland - Kraków - Lubomirskiego; Kraków, POL","EMEA - Poland - Kraków - Lubomirskiego | Kraków, POL",Not specified,No
Technical Solutions Executive,Not specified,2,APAC - Australia - NSW - North Sydney; APAC - Korea - Seoul - ASEM Tower,APAC - Australia - NSW - North Sydney | APAC - Korea - Seoul - ASEM Tower,Not specified,No
"AI Automation Lead, Trust (Remote)",Not specified,1,"San Francisco, CA, USA","San Francisco, CA, USA",Not specified,Yes
"AI Research Manager/Scientist, Model Alignment",Not specified,1,9 Locations,9 Locations,Not specified,No
AI Research Scientist Multimodal  VLM and MLLM,Not specified,1,"London, GBR","London, GBR",Not specified,No
AI Research Scientist Multimodal VLM and MLLM US or Canada,Not specified,1,5 Locations,5 Locations,Not specified,No
AR Accountant,Not specified,1,"Bengaluru, IND","Bengaluru, IND",Not specified,No
"AR Accountant, eStore",Not specified,1,"Bengaluru, IND","Bengaluru, IND",Not specified,No
ASEAN MMA Renewal Executive,Not specified,1,"Kuala Lumpur, MYS","Kuala Lumpur, MYS",Not specified,No
"Account Based Marketing Manager, NAMER Strategic D&M",Not specified,1,"Denver, CO, USA","Denver, CO, USA",Not specified,No
Account Based Renewal Sales Rep,Not specified,1,"North Sydney, AUS","North Sydney, AUS",Not specified,No
Account Based Renewals Representative,Not specified,1,"Mexico City, MEX","Mexico City, MEX",Not specified,No
Account Executive - ACS,Not specified,1,"Singapore, SGP","Singapore, SGP",Not specified,No
"Account Executive, Enterprise Accounts",Not specified,1,"Tokyo, JPN","Tokyo, JPN",Not specified,No
"Account Executive, Strategic Accounts",Not specified,1,"Tokyo, JPN","Tokyo, JPN",Not specified,No
"Account Executive, UK - AECO - D & M",Not specified,1,United Kingdom - Remote,United Kingdom - Remote,Not specified,Yes
"Account Representative, Territory",Not specified,1,Brazil - Remote,Brazil - Remote,Not specified,Yes
Accounts Representative,Not specified,1,"Denver, CO, USA","Denver, CO, USA",Not specified,No
Admin Assistant,Not specified,1,"Bengaluru, IND","Bengaluru, IND",Not specified,No
"Adoption Specialist (Hybrid), English Speaking",Not specified,1,AMER - Costa Rica - SanJose - Belen,AMER - Costa Rica - SanJose - Belen,Not specified,No
Anaplan Model Builder,Not specified,1,"Bengaluru, IND","Bengaluru, IND",Not specified,No
Application Security Engineer,Not specified,1,"Bengaluru, IND","Bengaluru, IND",Not specified,No
Applied AI Analyst,Not specified,1,"Toronto, ON, CAN","Toronto, ON, CAN",Not specified,No
Applied AI Senior Principal Developer,Not specified,1,"Toronto, ON, CAN","Toronto, ON, CAN",Not specified,No
"Apprentice, Talent Acquisition & People Experience",Not specified,1,"Bengaluru, IND","Bengaluru, IND",Not specified,No
"Associate Manager, Digital Business",Not specified,1,"Kuala Lumpur, MYS","Kuala Lumpur, MYS",Not specified,No
"Associate Manager, Software Development",Not specified,1,"Singapore, SGP","Singapore, SGP",Not specified,No
"Autodesk Learning Partner Manager, India",Not specified,1,4 Locations,4 Locations,Not specified,No
Backend Developer,Not specified,1,3 Locations,3 Locations,Not specified,No
Business Consultant (Evergreen),Not specified,1,"Tokyo, JPN","Tokyo, JPN",Not specified,No
Business Development Representative,Not specified,1,"North Sydney, AUS","North Sydney, AUS",Not specified,No
"Business Development Representative, Autodesk Operations Solutions",Not specified,1,5 Locations,5 Locations,Not specified,No
Business Intelligence Intern,Not specified,1,"Montreal, QC, CAN","Montreal, QC, CAN",Not specified,No
