title,department,location,posting_date,remote,region,url
Associate Solutions Engineer | Housing,Product Solutions,New York City,2025-06-20T22:53:18.167+00:00,No,Not specified,https://jobs.ashbyhq.com/eliseai/5b6f3775-3e79-4269-a255-47ee3057265d
GTM Strategy and Operations Manager | Healthcare,Strategy and Operations,New York City,2026-01-20T15:54:10.442+00:00,No,Not specified,https://jobs.ashbyhq.com/eliseai/412604a2-52de-4fb6-afbc-8d7bd5d50007
"Growth PM, Future Platforms | Housing",Strategy and Operations,New York City,2026-01-15T20:01:13.399+00:00,No,Not specified,https://jobs.ashbyhq.com/eliseai/7d2f5728-1ddf-49d6-87e8-54fc81cba65c
Office Operations Manager,People/Office Operations,New York City,2026-01-26T21:10:29.758+00:00,No,Not specified,https://jobs.ashbyhq.com/eliseai/24e89051-d94b-43d8-9a22-e4aa49ac6528
