title,department,location,posting_date,remote,region,url
Director of Customer Success | Housing ,Customer Success,New York City,2025-06-20T22:39:20.645+00:00,No,Not specified,https://jobs.ashbyhq.com/eliseai/d4e0133d-f9e8-4ffd-9860-5905d3edf77e
"Growth Strategy, Manager | Housing",Strategy and Operations,New York City,2026-03-10T18:26:03.207+00:00,No,Not specified,https://jobs.ashbyhq.com/eliseai/eb9daae6-eb8b-416e-adbd-ea3361ca5e16
"Growth Strategy, Senior Associate | Housing",Strategy and Operations,New York City,2026-03-10T18:23:31.094+00:00,No,Not specified,https://jobs.ashbyhq.com/eliseai/8037893d-663c-4062-8ce7-3ab7e04392c6
Growth PM | Housing,Strategy and Operations,New York City,2026-03-10T21:31:05.706+00:00,No,Not specified,https://jobs.ashbyhq.com/eliseai/18fff164-2ab9-407e-bbc6-3a34d8d5a3ce
Copy of GTM Strategy and Operations Associate | Housing ,Strategy and Operations,New York City,2026-03-10T22:00:56.954+00:00,No,Not specified,https://jobs.ashbyhq.com/eliseai/bec3a7d9-3ee0-4fdf-8918-81f7a36f08b9
